,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0,0.0,Wed Mar 07 09:01:50 +0000 2018,0.0,1.0,0.0,Coca-Cola plans Japan foray into alcohol https://t.co/5004c8cnP2,1,BBCWorld
1,0.0,Wed Mar 07 08:26:06 +0000 2018,0.0,1.0,0.0,RT @SallyBundockBBC: #Mattel is marking #InternationalWomensDay with a new set of Barbie dolls - who would you nominate and why? Suggestion…,2,BBCWorld
2,-0.4019,Wed Mar 07 08:17:45 +0000 2018,0.252,0.748,0.0,Terminal illness led to Australia's first same-sex marriage https://t.co/WrPYmBLXE8,3,BBCWorld
3,-0.3818,Wed Mar 07 08:17:43 +0000 2018,0.245,0.755,0.0,Blackberry sues Facebook in fight over app patents https://t.co/LeM00Hwf84,4,BBCWorld
4,0.1531,Wed Mar 07 08:12:47 +0000 2018,0.268,0.352,0.38,Fyre Festival co-founder Billy McFarland admits fraud https://t.co/Hdc266B5do,5,BBCWorld
5,-0.2263,Wed Mar 07 07:56:51 +0000 2018,0.087,0.913,0.0,RT @BBCSteveR: What are today's Russian papers saying about the Sergei Skripal story? There's limited coverage. But one pro-Kremlin paper c…,6,BBCWorld
6,-0.3818,Wed Mar 07 07:36:45 +0000 2018,0.342,0.658,0.0,Bali's battle against plastic pollution https://t.co/fQjzDPbQFh,7,BBCWorld
7,0.5984,Wed Mar 07 07:24:08 +0000 2018,0.0,0.739,0.261,Tomb Raider star: 'It's all very positive' because of feminist movement https://t.co/S5MkFkHP3v,8,BBCWorld
8,-0.5423,Wed Mar 07 04:53:14 +0000 2018,0.364,0.465,0.171,US man admits murder of Indian migrant https://t.co/oYu9X8nMKY,9,BBCWorld
9,0.4939,Wed Mar 07 04:42:50 +0000 2018,0.0,0.686,0.314,Stormy Daniels sues Trump over 'hush agreement' https://t.co/JlGtrLRWsZ,10,BBCWorld
10,0.0,Wed Mar 07 03:55:50 +0000 2018,0.0,1.0,0.0,RT @SallyBundockBBC: Who would you turn into a #Barbie doll for #InternationalWomensDay? Suggestions to #BBCTheBriefing - Nicola Adams says…,11,BBCWorld
11,0.6369,Wed Mar 07 03:42:27 +0000 2018,0.0,0.811,0.189,"RT @BBCNewsAsia: One of the best captains in international cricket. Inside the mind of India's 'greatest', Sourav Ganguly https://t.co/gsct…",12,BBCWorld
12,0.6166,Wed Mar 07 01:57:30 +0000 2018,0.0,0.665,0.335,"Russia MP: 'I don't feel people up. Well, OK, just a little' https://t.co/DEzy4KPBVx",13,BBCWorld
13,-0.2263,Wed Mar 07 01:47:30 +0000 2018,0.087,0.913,0.0,"RT @BBCNewsAsia: On Thursday it will be four years since Malaysia Airlines flight #MH370 disappeared. With the mystery still unsolved, some…",14,BBCWorld
14,0.0,Wed Mar 07 01:38:31 +0000 2018,0.0,1.0,0.0,Australia and East Timor sign historic maritime border deal https://t.co/5gICItKskE,15,BBCWorld
15,0.2732,Wed Mar 07 01:13:18 +0000 2018,0.232,0.421,0.347,Weinstein Company rescue deal collapses https://t.co/kHxO3sbQaG,16,BBCWorld
16,0.0,Wed Mar 07 01:08:18 +0000 2018,0.0,1.0,0.0,"Lessons delivered by taxi, truck and boat https://t.co/ICckY1EHd1",17,BBCWorld
17,0.0,Wed Mar 07 01:08:18 +0000 2018,0.0,1.0,0.0,Sourav Ganguly: Inside the mind of India's 'greatest' cricket captain https://t.co/tAXoKKIWXF,18,BBCWorld
18,0.0,Wed Mar 07 01:08:18 +0000 2018,0.0,1.0,0.0,MH370: Why families oppose plans for a memorial https://t.co/Wx4vhLBO2g,19,BBCWorld
19,0.0,Wed Mar 07 01:02:44 +0000 2018,0.0,1.0,0.0,Making boots from hippopotamus and ostrich https://t.co/pWdi7cG4OI,20,BBCWorld
20,-0.4767,Wed Mar 07 00:57:38 +0000 2018,0.256,0.744,0.0,'Haunted by nightmares' of working for US Border Patrol https://t.co/2TEDFt0J5V,21,BBCWorld
21,-0.6908,Wed Mar 07 00:47:21 +0000 2018,0.281,0.719,0.0,"North Korea used VX nerve agent to kill leader's brother, says US https://t.co/4mLB0FEnII",22,BBCWorld
22,0.0,Wed Mar 07 00:36:45 +0000 2018,0.0,1.0,0.0,The girl who sabotaged her own wedding https://t.co/MmfykZHUPl,23,BBCWorld
23,-0.4019,Wed Mar 07 00:36:43 +0000 2018,0.31,0.69,0.0,Washington DC dumps homeless people's belongings https://t.co/QlzK0WVvse,24,BBCWorld
24,-0.8591,Tue Mar 06 23:47:23 +0000 2018,0.613,0.387,0.0,Canadian man pleads guilty to US terrorism charges https://t.co/1fTaNneVFh,25,BBCWorld
25,0.0,Tue Mar 06 22:54:22 +0000 2018,0.0,1.0,0.0,Albert Einstein note to young female scientist sells at auction https://t.co/R8Pvxmm32m,26,BBCWorld
26,-0.3182,Tue Mar 06 22:49:05 +0000 2018,0.223,0.777,0.0,Gary Cohn: Key Trump economic policy aide resigns https://t.co/aPY6mgjl8p,27,BBCWorld
27,-0.1531,Tue Mar 06 22:38:28 +0000 2018,0.125,0.781,0.094,RT @BBCBreaking: US President Donald Trump’s top economic adviser Gary Cohn is to resign - White House https://t.co/bdzGAiguww,28,BBCWorld
